Tier,Subnet ,Description,Category,Company,App,Validation from,Native token,Notes,netuid,Emission,Emission_Percentage,Current_Price,Price_Change_24h,Market_Cap,Symbol,Circulating_Supply,Clean_Price,Clean_Emission,Clean_Market_Cap
S Tier,SN1 : Prompting / Apex,Agentic workflows & inference,Generative AI,Macrocosmos,Yes,"Crucible Labs, Guru (soon Tao.com)",,,1,28636612.0,2.87%,0.06432876147734116013,15.168527426020646559,51591332157255.098161844272362,α,801994799409085,0.06432876147734116,2.87,18934018.901712622
A Tier,SN2 : Omron ,Inference verification (zkML),Generative AI,Inference Labs,,,,,2,3719253.0,0.37%,0.00766178324664470715,9.727810495641803388,6494083617861.1145198136466465,β,847594275223727,0.007661783246644707,0.37,2383328.687755029
S Tier,SN3 : Templar ,Distributed treaining,Decentralized Training,Templar,,,,,3,50322819.0,5.04%,0.10504852910258316027,6.847426234867915607,88426512689473.83176742446564,γ,841768213652212,0.10504852910258317,5.04,32452530.157036897
S Tier,SN4 : Targon,Inference verification & optimization,Generative AI,Manifold,Yes,"Crucible Labs, Guru (soon Tao.com), OpenTensor, Yuma",,,4,76049462.0,7.62%,0.15065623240130610487,-0.261502465729098236,126672577072345.89335642121183,δ,840805422074578,0.1506562324013061,7.62,46488835.78555094
A Tier,SN5 : OpenKaito ,Text embedding model,Model development,Kaito,,,https://dexscreener.com/base/0x37bb450b17721c6720040a150029e504766e9777,,5,14605849.0,1.46%,0.02894032367064280788,-0.927513187195276532,24559284938840.769981637078310,ε,848618184728660,0.02894032367064281,1.46,9013257.572554562
A Tier,SN6 : Infinite Games ,Future event prediction,Predictive systems,Infinite Games,Soon,"Yuma, Yuma portfolio",https://dexscreener.com/base/0xba1963bb6c0d0d60cea960aa37218d13b69503a1,,6,5861198.0,0.59%,0.01224660099205791816,4.958802472015707909,9829188850731.057433420309176,ζ,802605462291571,0.012246600992057918,0.59,3607312.308218298
B Tier,SN7 : SubVortex ,Bittensor node infra,Infrastructure,SubVortex,,,,,7,1387103.0,0.14%,0.0027888722808302732,-2.344792549026696406,2328606232140.4924037181293321,η,834963382205242,0.002788872280830273,0.14,854598.4871955606
S Tier,SN8 : Proprietary trading network (PTN),General trading strategies,DeFi,Taoshi,Soon,,,,8,75380006.0,7.55%,0.15132193609039278603,1.07258575820546355,126356708578711.87255842116601,θ,835019111196358,0.1513219360903928,7.55,46372912.04838726
S Tier,SN9 : Pre-Training ,Training competition,Decentralized Training,Macrocosmos,,"Crucible Labs, Guru (soon Tao.com), OpenTensor, Yuma",,,9,14631122.0,1.47%,0.02909902257513492683,-5.880589642403773454,24638631705340.139510764267205,ι,846716814687577,0.029099022575134928,1.47,9042377.835859831
A Tier,SN10 : Sturdy,Defi yield optimizer,DeFi,Sturdy,,"Yuma, Yuma portfolio",https://dexscreener.com/ethereum/0xa499b5e6af1d554316bcd96947940de0c3b5836e,,10,7210709.0,0.72%,0.01456768739872358072,7.214845711066596296,12206145436943.426304322995783,κ,837891773955345,0.014567687398723581,0.72,4479655.375358238
S Tier,SN11 : Dippy Roleplay,Roleplays LLMs,Model development,Dippy,Yes,Yuma,,,11,4056756.0,0.41%,0.00826090794777019464,2.857334151125537331,7033494861080.0413798504666181,λ,851419106174466,0.008260907947770195,0.41,2581292.6140163755
C tier,SN12 : Horde,Compute for bittensor validators,"Compute, Infrastructure",Horde,Yes,,,"Tier C because they have very little online presence, barely any documentation, and a use case that doesn’t really excite the general public.",12,4999359.0,0.50%,0.01434863334024946007,71.981999266988837527,12215477109530.976641659187780,μ,851333839249014,0.01434863334024946,0.5,4483080.099197868
S Tier,SN13 : Data Universe ,Data scraping & storage,"Data Pipeline, Storage",Macrocosmos,Yes,"Crucible Labs, Guru (soon Tao.com)",,,13,25466160.0,2.55%,0.05054711294601156985,0.763006973625220915,42608953742279.433538940374986,ν,842955240347540,0.05054711294601157,2.55,15637486.023416555
C tier,SN14 : TAOHash,"PoW hashrate, rental & exchange",,Latent Holdings,,,,,14,13679823.0,1.37%,0.03101237348704816528,8.163871568326126706,25896112659710.969316424711631,ξ,835025176983828,0.031012373487048165,1.37,9503873.346113926
B Tier,SN15 : De_Val ,LLM evaluation/ranking,AI powered tool,De_val,,,,,15,2084860.0,0.21%,0.00441640501398677644,-9.480044877238189778,3760235247081.5393331127495267,ο,851424458393842,0.004416405013986776,0.21,1380006.3356789248
B Tier,SN16 : BitAds,Online marketing & advertising,AI powered tool,BitAds,Yes,,,,16,1884857.0,0.19%,0.00387554936965732995,3.967467819578350032,3280530127943.8587947156975019,π,846468413904870,0.0038755493696573298,0.19,1203954.5569553962
S Tier,SN17 : Three Gen,Text-to-3D model,Generative AI,404,Yes,,,,17,19335527.0,1.94%,0.0381811666725429914,-1.025468092216804492,32060855599826.923853926608544,ρ,839703403376688,0.03818116667254299,1.94,11766334.00513648
C tier,SN18 : Zeus,Climate forecasting,Predictive systems,Orpheus AI,Yes,,,Tier C because they just went live on mainnet,18,4794909.0,0.48%,0.01070872579394449371,12.094562009719656294,8221278446792.591014776974929,σ,767717710303266,0.010708725793944494,0.48,3017209.1899728808
S Tier,SN19 : Nineteen,Inference optimization,Generative AI,Rayon Labs,Yes,"Crucible Labs, Guru (soon Tao.com), OpenTensor, Yuma",,,19,42569088.0,4.26%,0.08343998606912776984,-3.22780499593172296,68459204083180.048978854606539,t,820460396846944,0.08343998606912777,4.26,25124527.898527075
B Tier,SN20 : BitAgent,Agent for personal assistance,AI Agent,Team Rizzo,,,,,20,5688221.0,0.57%,0.01137133062681036734,-4.626122631103525322,9001909995148.538636900280549,υ,791632069330971,0.011371330626810368,0.57,3303700.9682195135
A Tier,SN21: Omega Any-to-Any,Multimodal models,Model development,Omega Labs,Yes,Guru (soon Tao.com),,,21,2187118.0,0.22%,0.00424353707454237638,-1.584132270311339061,3532760425851.5318912028037438,φ,832503725970747,0.004243537074542376,0.22,1296523.0762875122
B Tier,SN22 : Desearch ,Smart-scraping,AI powered tool,Datura,,,,,22,3962992.0,0.40%,0.00957002679060754952,29.363872155899241953,8036310971593.101985366791043,χ,839737562645101,0.009570026790607549,0.4,2949326.126574668
B Tier,SN23 : Nuance,Nuancing of speech,AI powered tool,Zuvu AI,,,,,23,2069813.0,0.21%,0.00411532219897577803,-2.711440870379595861,3364024359140.3507564373613202,ψ,817438877562877,0.004115322198975778,0.21,1234596.9398045088
A Tier,SN24 : Omega Labs,Multimodal datasets,Data Pipeline,Omega Labs,,Guru (soon Tao.com),,,24,1857519.0,0.19%,0.00353760812909409272,-5.032621619961449111,3002528431743.2796316130785108,ω,848745344926648,0.003537608129094093,0.19,1101927.9344497838
S Tier,SN25 : Protein Folding ,Protein folding,DeSci,Macrocosmos,,Guru (soon Tao.com),,,25,10447310.0,1.05%,0.01952823811612151155,-6.381121215763935986,16490584321410.452942188180520,א,844448138298594,0.01952823811612151,1.05,6052044.445957636
C tier,SN26 : Storb,Storage,Storage,Storb,,,,"Tier C because their subnet isn’t up and running yet, and their X and website aren’t ready either.",26,2089580.0,0.21%,0.00383612391303972592,-2.656843414644702788,3193665426195.1134504444329843,ב,832524052557121,0.0038361239130397257,0.21,1172075.2114136065
B Tier,SN27 : NI Compute,Compute marketplace,Compute,Neural Internet,,,,,27,1618780.0,0.16%,0.00331878242605138596,-6.524395760686879396,2823277916737.3583064294520614,ג,850696898529872,0.003318782426051386,0.16,1036142.9954426105
D tier,SN28 ,dTAO stress test ,,,,,,,28,1053834.0,0.11%,0.00234645182201852764,65.946634631238010182,1986287282312.4888189758373889,ד,846506739952492,0.0023464518220185277,0.11,728967.4326086834
B Tier,SN29 : Coldint ,Collaborative training,Decentralized Training,Coldint,,,,,29,1461311.0,0.15%,0.00289037788285317477,-0.952033711389962238,2509567635291.9476037088300739,ה,868248975395107,0.0028903778828531746,0.15,921011.3221521446
C tier,SN30 : Bettensor ,Sports prediction,Predictive systems,Nickel5,Soon,,,,30,3051788.0,0.31%,0.00604602144534941466,-0.132750896186614408,5204943922109.0235501793440525,ו,860887439642255,0.006046021445349415,0.31,1910214.4194140115
D tier,SN31 : NullUntilBoot,,,,,,,,31,1115590.0,0.11%,0.00220677936131595322,5.000300477817192496,1873594085179.1217235948739670,ז,849017404287239,0.002206779361315953,0.11,687609.0292607376
B Tier,SN32 : It’s AI ,LLM generated content detection,Deepfake detection,It's AI,Yes,,,,32,2415475.0,0.24%,0.00478098433509174051,-0.53585970661345383,4003218616446.9305067586996438,ח,837321006693931,0.00478098433509174,0.24,1469181.2322360233
A Tier,SN33 : ReadyAI ,Data structuring,Data Pipeline,Afterparty,Yes,,,,33,8457162.0,0.85%,0.01672374906071237249,1.722351615004930116,14189393733850.980711675552345,ט,848457704210886,0.016723749060712372,0.85,5207507.50032331
S Tier,SN34 : BitMind,Deepfake detection,Deepfake detection,BitMind,Yes,Yuma,,,34,22947919.0,2.30%,0.04518333025842093685,-1.200060294318964023,36451246471203.211411057837600,י,806741031763804,0.04518333025842094,2.3,13377607.45493158
B Tier,SN35 : LogicNet,Mathematics model,Model development,AIT Protocol,Yes,,,,35,670046.0,0.07%,0.00135299430496688937,1.091847121871979116,1154945396036.0918287851400209,ך,853621771944085,0.0013529943049668894,0.07,423864.96034524566
B Tier,SN36 : Web Agents,Web Agents,AI Agent,Autoppia,,,,,36,1163865.0,0.12%,0.00326055187779545094,55.686524095996829809,2605483306615.1265587858015423,כ,799092731619644,0.003260551877795451,0.12,956212.3735277514
S Tier,SN37 : Fine-tuning ,LLM fine-tuning,"Decentralized Training, Model development",Macrocosmos,,,,,37,3412192.0,0.34%,0.00671196533396556459,1.601457612725679053,5649764503828.0256853838424127,ל,841745185309238,0.006711965333965565,0.34,2073463.5729048855
B Tier,SN38 : Distributed training,Distributed training,Decentralized Training,,,,,"Tier B because they have no online presence yet, and there’s still very little documentation.
quasi aucune info mais 11 contributeurs github + crucible emerging",38,3198031.0,0.32%,0.00760630889277912336,40.761556518502235503,6451502319676.2358156145710433,ם,848177796960208,0.007606308892779123,0.32,2367701.3513211785
C tier,SN39 : EdgeMaxxing ,AI model optimization for consumer devices,Model development,Wombo,,,,,39,778717.0,0.08%,0.00173772729200737235,11.903298422979870698,1459361180841.8327605740679402,מ,839810243847883,0.0017377272920073724,0.08,535585.5533689526
A Tier,SN40 : Chunking,Chunking & RAG,Data Pipeline,VectorChat,,,,,40,1704879.0,0.17%,0.00333640097490812907,-1.618560369123498889,2824502174161.7589403598389775,ן,846571558815569,0.0033364009749081293,0.17,1036592.2979173657
A Tier,SN41 : SportsTensor,Sports prediction model,"Model development, Predictive systems",SportsTensor,,,,,41,6145370.0,0.62%,0.01315618955517705791,7.985459138808452118,11045781153167.054414806148587,נ,839588173067973,0.013156189555177058,0.62,4053801.6832123087
A Tier,SN42 : Masa,Data-Scraping,Data Pipeline,Masa,,"Yuma, Yuma portfolio",https://dexscreener.com/ethereum/0x541d846ddfa1efc15ca612bd76e2b595056edc8c,,42,7257498.0,0.73%,0.01464127766449125934,1.342690337849785655,11947491848277.487907655004434,ס,816014293428307,0.01464127766449126,0.73,4384729.508317838
B Tier,SN43 Graphite,Graph optimization,DeSci,Graphite,,,,,43,8947115.0,0.90%,0.01777440589402395566,-0.354207064585266414,15133029650666.192477832841204,ע,851394400515753,0.017774405894023956,0.9,5553821.881794493
S Tier,SN44 : Score Vision,Computer vision for football,Predictive systems,Score,,"Yuma, Yuma portfolio",,,44,17741642.0,1.78%,0.03296660416820553885,-8.429515040457126992,27398936132528.373126403646557,ף,831111872873856,0.032966604168205536,1.78,10055409.560637912
B Tier,SN45 : Gen42,Software engineering services,AI powered tool,Team Rizzo,,,,,45,5364165.0,0.54%,0.01050796877028016817,-2.153830743286248803,8800771512027.084059244847104,פ,837533086025001,0.010507968770280169,0.54,3229883.1449139398
B Tier,SN46 : NeuralAI ,3D assets generation,Generative AI,NeuralAI,Yes,,https://dexscreener.com/ethereum/0x1112956589a2bea1b038732db4ea6b0c416ef130,,46,1513030.0,0.15%,0.00303995217263568671,1.612850846290130944,2563897515951.6634215622733535,ץ,843400609730226,0.003039952172635687,0.15,940950.3883542605
A Tier,SN47 : Condenses AI,Token compression to reduce LLM inference costs,Model development,Condenses AI,,,,,47,809554.0,0.08%,0.00157781313412213501,-3.393995172924936026,1310256260537.7035707721877032,צ,830425499827459,0.001577813134122135,0.08,480864.0476173372
B Tier,SN48 : NextPlace AI,Property price prediction,Predictive systems,Nickel5,Yes,,,,48,3094793.0,0.31%,0.00617758172261384419,-1.397922718204404762,5077178588911.1003128058622768,ק,821871537583295,0.006177581722613844,0.31,1863324.542130374
C tier,SN49 : Polaris,GPU compute marketplace,Compute,Polaris,,,,,49,948944.0,0.10%,0.00199927808133552765,8.91538194454918953,1708457364989.5305208601326943,ר,854537135648620,0.0019992780813355275,0.1,627003.8529511576
A Tier,SN50 : Synth,Synthetic data for price forecasting,"Data Pipeline, Predictive systems",Mode,,,,,50,2134280.0,0.21%,0.00444605378527627703,6.256140681004121261,3749724796658.4959601123855749,ש,843382688953568,0.004446053785276277,0.21,1376149.000373668
S Tier,SN51 : Celium ,Peer-to-peer GPU marketplace,Compute,Datura,Yes,"Crucible Labs, OpenTensor",,,51,56145665.0,5.62%,0.11736750488912878881,7.598478658478442185,99878744526835.08453051726831,ת,850991461573504,0.11736750488912878,5.62,36655499.241348475
A Tier,SN52 : Dojo,Human-generated datasets crowdsoursing,Data Pipeline,Tensorplex Labs,Soon,,,,52,18858412.0,1.89%,0.03663406563987325335,-2.963879709667962104,29632906764789.702261069249430,ا,808889383343154,0.03663406563987325,1.89,10875276.78267782
B Tier,SN53 : EfficientFrontier,Crypto trading strategies,DeFi,SignalPlus,,OpenTensor,,,53,8633613.0,0.86%,0.01701710890798552637,-0.682139450110995313,14545638379777.057180006547774,ب,854765545571099,0.017017108907985527,0.86,5338249.28537818
B Tier,SN54 : WebGenieAI,Text-to-code / Image-to-code,AI powered tool,WebGenieAI,,,,,54,585220.0,0.06%,0.00125627156407092306,12.098139473567403056,1064445671452.3860213296261487,ت,847305393113469,0.001256271564070923,0.06,390651.5614230257
