Tier,Subnet ,Description,Category,Company,App,Validation from,Native token,Notes,netuid,Emission,Emission_Percentage,Current_Price,Price_Change_24h,Market_Cap,Symbol,Circulating_Supply,Clean_Price,Clean_Emission,Clean_Market_Cap,Subnet ID,Subnet Name
S Tier,SN1 : Prompting / Apex,Agentic workflows & inference,Generative AI,Macrocosmos,Yes,"Crucible Labs, Guru (soon Tao.com)",,,1,28636612.0,2.87%,0.0643287614773411,15.168527426020646,51591332157255.09,α,801994799409085,0.0643287614773411,2.87,18934018.901712622,SN1,Prompting / Apex
A Tier,SN2 : Omron ,Inference verification (zkML),Generative AI,Inference Labs,,,,,2,3719253.0,0.37%,0.0076617832466447,9.727810495641805,6494083617861.114,β,847594275223727,0.0076617832466447,0.37,2383328.687755029,SN2,Omron
S Tier,SN3 : Templar ,Distributed treaining,Decentralized Training,Templar,,,,,3,50322819.0,5.04%,0.1050485291025831,6.847426234867916,88426512689473.83,γ,841768213652212,0.1050485291025831,5.04,32452530.157036897,SN3,Templar
S Tier,SN4 : Targon,Inference verification & optimization,Generative AI,Manifold,Yes,"Crucible Labs, Guru (soon Tao.com), OpenTensor, Yuma",,,4,76049462.0,7.62%,0.1506562324013061,-0.2615024657290982,126672577072345.88,δ,840805422074578,0.1506562324013061,7.62,46488835.78555094,SN4,Targon
A Tier,SN5 : OpenKaito ,Text embedding model,Model development,Kaito,,,https://dexscreener.com/base/0x37bb450b17721c6720040a150029e504766e9777,,5,14605849.0,1.46%,0.0289403236706428,-0.9275131871952764,24559284938840.77,ε,848618184728660,0.0289403236706428,1.46,9013257.572554562,SN5,OpenKaito
A Tier,SN6 : Infinite Games ,Future event prediction,Predictive systems,Infinite Games,Soon,"Yuma, Yuma portfolio",https://dexscreener.com/base/0xba1963bb6c0d0d60cea960aa37218d13b69503a1,,6,5861198.0,0.59%,0.0122466009920579,4.958802472015708,9829188850731.057,ζ,802605462291571,0.0122466009920579,0.59,3607312.308218298,SN6,Infinite Games
B Tier,SN7 : SubVortex ,Bittensor node infra,Infrastructure,SubVortex,,,,,7,1387103.0,0.14%,0.0027888722808302,-2.3447925490266965,2328606232140.492,η,834963382205242,0.0027888722808302,0.14,854598.4871955606,SN7,SubVortex
S Tier,SN8 : Proprietary trading network (PTN),General trading strategies,DeFi,Taoshi,Soon,,,,8,75380006.0,7.55%,0.1513219360903927,1.0725857582054636,126356708578711.88,θ,835019111196358,0.1513219360903928,7.55,46372912.04838726,SN8,Proprietary trading network (PTN)
S Tier,SN9 : Pre-Training ,Training competition,Decentralized Training,Macrocosmos,,"Crucible Labs, Guru (soon Tao.com), OpenTensor, Yuma",,,9,14631122.0,1.47%,0.0290990225751349,-5.8805896424037725,24638631705340.137,ι,846716814687577,0.0290990225751349,1.47,9042377.835859831,SN9,Pre-Training
A Tier,SN10 : Sturdy,Defi yield optimizer,DeFi,Sturdy,,"Yuma, Yuma portfolio",https://dexscreener.com/ethereum/0xa499b5e6af1d554316bcd96947940de0c3b5836e,,10,7210709.0,0.72%,0.0145676873987235,7.214845711066595,12206145436943.426,κ,837891773955345,0.0145676873987235,0.72,4479655.375358238,SN10,Sturdy
